crd,name,reason
152864,LFA,non-US main office: Switzerland
154172,"TRIAN FUND MANAGEMENT, L.P.","pooled-vehicle RAUM 94% of book — manufacturer, not distributor"
154209,REMPART ASSET MANAGEMENT,non-US main office: Canada
154475,MONTRUSCO BOLTON INVESTMENTS INC.,non-US main office: Canada
154493,HALYARD ASSET MANAGEMENT LLC,"pooled-vehicle RAUM 94% of book — manufacturer, not distributor"
154518,"OCEAN ENDOWMENT PARTNERS, LLC","pooled-vehicle RAUM 62% of book — manufacturer, not distributor"
155003,MARCUARD FAMILY OFFICE LTD,non-US main office: Switzerland
155526,BASELINE WEALTH MANAGEMENT LTD.,non-US main office: Switzerland
155697,PALMER SQUARE CAPITAL MANAGEMENT LLC,"pooled-vehicle RAUM 84% of book — manufacturer, not distributor"
156771,AVENDUS WEALTH MANAGEMENT PRIVATE LIMITED,non-US main office: India
157298,TINICUM INCORPORATED,"pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
157400,HYPOSWISS ADVISORS SA,non-US main office: Switzerland
157433,"EAST ROCK CAPITAL, LLC","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
157780,"KAWA CAPITAL MANAGEMENT, INC.","pooled-vehicle RAUM 95% of book — manufacturer, not distributor"
158348,BELLECAPITAL INTERNATIONAL,non-US main office: Switzerland
158420,BFI INFINITY LTD.,non-US main office: Switzerland
158849,"PHAROS CAPITAL GROUP, LLC","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
159100,MAWER INVESTMENT MANAGEMENT LTD.,non-US main office: Canada
160231,NEW VERNON CAPITAL,"pooled-vehicle RAUM 94% of book — manufacturer, not distributor"
160344,BMO PRIVATE INVESTMENT COUNSEL INC.,non-US main office: Canada
160494,EAGLE'S VIEW CAPITAL MANAGEMENT LLC,"pooled-vehicle RAUM 84% of book — manufacturer, not distributor"
160662,CLARITY CAPITAL KCPS LTD,non-US main office: Israel
160969,"NEW LEGACY GROUP, LLC","pooled-vehicle RAUM 89% of book — manufacturer, not distributor"
160976,CRCM L.P.,"pooled-vehicle RAUM 98% of book — manufacturer, not distributor"
161012,MUDRICK CAPITAL,"pooled-vehicle RAUM 57% of book — manufacturer, not distributor"
161109,SBB RESEARCH GROUP LLC,"pooled-vehicle RAUM 98% of book — manufacturer, not distributor"
161331,CALEDONIA (PRIVATE) INVESTMENTS PTY LIMITED,non-US main office: Australia
161357,SSA WEALTH ADVISORS,non-US main office: Switzerland
161426,ARCADIA INVESTMENT PARTNERS,"pooled-vehicle RAUM 98% of book — manufacturer, not distributor"
164038,AMELIORA WEALTH MANAGEMENT LTD.,non-US main office: Switzerland
164190,LGT WEALTH MANAGEMENT US LIMITED,non-US main office: United Kingdom
164792,VENTIRA PRIVATE WEALTH MANAGEMENT LTD.,non-US main office: Switzerland
166084,TANAGER WEALTH MANAGEMENT,non-US main office: United Kingdom
167142,PROVENTUS AG,non-US main office: Switzerland
167922,"NINETY ONE NORTH AMERICA, INC.","pooled-vehicle RAUM 54% of book — manufacturer, not distributor"
168496,"SELECT EQUITY GROUP, L.P.","pooled-vehicle RAUM 79% of book — manufacturer, not distributor"
168899,"FIRST LIGHT ASSET MANAGEMENT, LLC","pooled-vehicle RAUM 69% of book — manufacturer, not distributor"
169056,DORSEY ASSET MANAGEMENT,"pooled-vehicle RAUM 60% of book — manufacturer, not distributor"
170236,"ENHANCED CAPITAL PARTNERS, LLC","pooled-vehicle RAUM 64% of book — manufacturer, not distributor"
171023,"BOWIE CAPITAL MANAGEMENT, LLC","pooled-vehicle RAUM 85% of book — manufacturer, not distributor"
171155,HELVETIA INVESTMENT ADVISORS,non-US main office: Switzerland
171963,SPRUCEVIEW CAPITAL PARTNERS LLC,"pooled-vehicle RAUM 78% of book — manufacturer, not distributor"
172640,CIDEL ASSET MANAGEMENT INC,non-US main office: Canada
173046,ZENITH AM,non-US main office: France
173201,NICOLA WEALTH MANAGEMENT LTD.,non-US main office: Canada
173779,"XP ADVISORY US, INC.","pooled-vehicle RAUM 57% of book — manufacturer, not distributor"
175139,BRISTOL GATE CAPITAL PARTNERS INC.,non-US main office: Canada
281337,BMO NESBITT BURNS SECURITIES LTD.,non-US main office: Canada
281716,"BG INVESTMENT SERVICES, LLC",non-US main office: Guam
282487,WILLOW WEALTH,"pooled-vehicle RAUM 90% of book — manufacturer, not distributor"
282516,OA PRIVATE CAPITAL,"pooled-vehicle RAUM 74% of book — manufacturer, not distributor"
283227,AVALOR INVESTMENT AG,non-US main office: Switzerland
284407,THE FORUM FINANCE GROUP SA,non-US main office: Switzerland
284784,CLIMBER CAPITAL SA,non-US main office: Switzerland
284852,QUATTRO FINANCIAL ADVISORS,"pooled-vehicle RAUM 63% of book — manufacturer, not distributor"
285802,AUBREY CAPITAL MANAGEMENT,non-US main office: United Kingdom
287741,TRINITY ALPS CAPITAL,"pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
288211,DUNHILL FINANCIAL,non-US main office: United Kingdom
289151,SCHRODER WEALTH MANAGEMENT (US) LIMITED,non-US main office: United Kingdom
290262,LORNE STEINBERG WEALTH MANAGEMENT INC.,non-US main office: Canada
291310,ASTON CAPITAL MANAGEMENT,"pooled-vehicle RAUM 53% of book — manufacturer, not distributor"
291362,TOMS CAPITAL INVESTMENT MANAGEMENT LP,"pooled-vehicle RAUM 65% of book — manufacturer, not distributor"
291759,ALPEN PARTNERS INTERNATIONAL AG,non-US main office: Switzerland
292433,J. SAFRA SARASIN ASSET MANAGEMENT (NORTH AMERICA) LTD,non-US main office: Switzerland
292916,ASSET RISK CONSULTANTS (UK) LIMITED,non-US main office: United Kingdom
296819,ATOM INVESTORS LP,"pooled-vehicle RAUM 97% of book — manufacturer, not distributor"
298651,"DURATION ASSET MANAGEMENT, LLC","pooled-vehicle RAUM 87% of book — manufacturer, not distributor"
300914,360 ONE ASSET MANAGEMENT LIMITED,non-US main office: India
301973,PTMA INVESTMENT ADVISORS,"pooled-vehicle RAUM 88% of book — manufacturer, not distributor"
304230,HYPERION CAPITAL ADVISORS LP,"pooled-vehicle RAUM 63% of book — manufacturer, not distributor"
305988,ALIYA CAPITAL PARTNERS LLC,"pooled-vehicle RAUM 97% of book — manufacturer, not distributor"
307146,360 ONE PORTFOLIO MANAGERS LIMITED,non-US main office: India
307798,"HIGHPOST CAPITAL, LLC","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
308609,"DALTON INVESTMENTS, INC.","pooled-vehicle RAUM 55% of book — manufacturer, not distributor"
309234,APOGEM CAPITAL LLC,"pooled-vehicle RAUM 54% of book — manufacturer, not distributor"
310052,DIAPHANUM,non-US main office: Spain
311499,AUGUST GROUP,non-US main office: Canada
311547,LOGAN STONE,"pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
312491,"1888 INVESTMENTS, LLC","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
315114,BELZBERG & CO.,"pooled-vehicle RAUM 53% of book — manufacturer, not distributor"
315631,"RUBICON FOUNDERS, LLC","pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
315897,CERCANO MANAGEMENT LLC,"pooled-vehicle RAUM 83% of book — manufacturer, not distributor"
316814,"ALLOCATE MANAGEMENT COMPANY, LLC","pooled-vehicle RAUM 78% of book — manufacturer, not distributor"
317251,MARCELLUS INVESTMENT MANAGERS PRIVATE LIMITED,non-US main office: India
317525,IMPERIAL FUND ASSET MANAGEMENT LLC,"pooled-vehicle RAUM 66% of book — manufacturer, not distributor"
317952,KOTAK ALTERNATE ASSET MANAGERS LIMITED,non-US main office: India
319213,MANITOU INVESTMENT MANAGEMENT LTD.,non-US main office: Canada
322068,PRIME QUADRANT,non-US main office: Canada
322876,G10 LLC,"pooled-vehicle RAUM 97% of book — manufacturer, not distributor"
324189,GUARDIAN PARTNERS INC.,non-US main office: Canada
324329,"9823 CAPITAL, LP","pooled-vehicle RAUM 99% of book — manufacturer, not distributor"
325345,"SELBY LANE CAPITAL, LLC","pooled-vehicle RAUM 98% of book — manufacturer, not distributor"
327580,"503 CAPITAL PARTNERS, LLC","pooled-vehicle RAUM 62% of book — manufacturer, not distributor"
331389,VALUEQUEST INVESTMENT ADVISORS PRIVATE LTD,non-US main office: India
332026,SCOTT CAPITAL PARTNERS,non-US main office: United Kingdom
335103,CARNELIAN ASSET MANAGEMENT & ADVISORS PRIVATE LIMITED,non-US main office: India
335426,EAST CAPITAL,non-US main office: Sweden
336301,SATIS WEALTH MANAGEMENT,non-US main office: United Kingdom
336801,VERECAN CAPITAL MANAGEMENT INC.,non-US main office: Canada
339969,GRYPHON WEALTH,SEC status: 120-Day Approval
341136,"BULLETPROOF CAPITAL, LLC","pooled-vehicle RAUM 96% of book — manufacturer, not distributor"
331606,QUAD INVESTMENT MANAGEMENT CORP.,"non-US main office: Korea, South"
281808,CAPITAL GENERATION PARTNERS LLP,non-US main office: United Kingdom
162512,"STANHOPE CAPITAL, LLP",non-US main office: United Kingdom
155663,ARBION LIMITED,non-US main office: United Kingdom
121591,"FOYSTON, GORDON & PAYNE INC.",non-US main office: Canada
160843,STANDARD INVESTMENTS LLC,"pooled-vehicle RAUM 95% of book — manufacturer, not distributor"
156313,ITAU USA ASSET MANAGEMENT,"pooled-vehicle RAUM 80% of book — manufacturer, not distributor"
169726,"E FUND MANAGEMENT (HONG KONG) CO., LIMITED",non-US main office: Hong Kong
109923,INVESCO HONG KONG LIMITED,non-US main office: China
316515,HOTTINGER,non-US main office: United Kingdom
110670,GAM LONDON LIMITED,non-US main office: United Kingdom
323871,J. STERN & CO. LLP,non-US main office: United Kingdom
170336,BANDHAN AMC LIMITED,non-US main office: India
309733,RUFFER LLP,non-US main office: United Kingdom
168321,SPRINGS CAPITAL (HONG KONG) LIMITED,non-US main office: Hong Kong
282931,WEALHOUSE CAPITAL LIMITED PARTNERSHIP,non-US main office: Canada
172523,NEVASTAR FINANCE LTD,non-US main office: United Kingdom
158022,ROTHSCHILD AND CO WEALTH MANAGEMENT UK LIMITED,non-US main office: United Kingdom
155405,PEMBROKE MANAGEMENT LTD.,non-US main office: Canada
298214,NYMBUS CAPITAL INC.,non-US main office: Canada
286618,TURIM 21 INVESTIMENTOS LTDA,non-US main office: Brazil
111364,FRANKLIN TEMPLETON INVESTMENTS CORP.,non-US main office: Canada
332720,GFI INVESTMENT COUNSEL,non-US main office: Canada
170990,GF INTERNATIONAL,non-US main office: China
158668,LLOYD CAPITAL LLC,non-US main office: Switzerland
316199,MCINROY & WOOD LIMITED,non-US main office: United Kingdom
301825,GAOTENG GLOBAL ASSET MANAGEMENT LIMITED,non-US main office: Hong Kong
149155,DEANS KNIGHT CAPITAL MANAGEMENT,non-US main office: Canada
313913,STONEHAGE FLEMING,non-US main office: United Kingdom
332503,PROMETHEUS WEALTH MANAGEMENT SAM,non-US main office: Monaco
241788,TISHMAN CAPITAL PARTNERS,"pooled-vehicle RAUM 55% of book — manufacturer, not distributor"
168985,BROWN ADVISORY LTD.,non-US main office: United Kingdom
106355,SPRUCEGROVE INVESTMENT MANAGEMENT LTD,non-US main office: Canada
146982,GOODREID INVESTMENT COUNSEL CORP.,non-US main office: Canada
327612,BUOYANT CAPITAL PRIVATE LIMITED,non-US main office: India
137883,HILLSDALE INVESTMENT MANAGEMENT INC.,non-US main office: Canada
160376,EVELYN PARTNERS ASSET MANAGEMENT LIMITED,non-US main office: United Kingdom
297781,NS MANAGEMENT LTD,non-US main office: Bermuda
341175,KRISTAL.AI,non-US main office: Singapore
339845,SC ASESORES EN INVERSIONES INDEPENDIENTES SA DE CV,non-US main office: Mexico
292793,GCW GLOBAL CUSTOMISED WEALTH LLP,non-US main office: United Kingdom
111360,FRANKLIN TEMPLETON INVESTMENT MANAGEMENT LIMITED,non-US main office: United Kingdom
291669,SANTA LUCIA ASSET MANAGEMENT PTE. LTD.,non-US main office: Singapore
165123,"ANDA ASSET MANAGEMENT CO., LTD.","non-US main office: Korea, South"
148494,SOUTHEASTERN ASSET MANAGEMENT INTERNATIONAL (SINGAPORE) PTE. LTD,non-US main office: Singapore
164222,CAPITALIA (SUISSE),non-US main office: Switzerland
160211,"NEW HOLLAND CAPITAL, LLC","pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
304577,TRIASIMA PORTFOLIO MANAGEMENT INC.,non-US main office: Canada
312174,ISLANDBRIDGE CAPITAL LIMITED,non-US main office: United Kingdom
335212,KARMA CAPITAL ADVISORS PVT LTD.,non-US main office: India
281555,GORDIAN CAPITAL SINGAPORE PRIVATE LIMITED,non-US main office: Singapore
327652,THE RAELIPSKIE PARTNERSHIP,non-US main office: Canada
161117,LEVCO CAPITAL LP,"pooled-vehicle RAUM 100% of book — manufacturer, not distributor"
284803,NEUBERGER BERMAN CANADA ULC,non-US main office: Canada
151223,CLEARBRIDGE INVESTMENTS (NORTH AMERICA) PTY LIMITED,non-US main office: Australia
299826,OPTIMA ASSET MANAGEMENT LLC,"pooled-vehicle RAUM 76% of book — manufacturer, not distributor"
286221,BROOKLANDS,non-US main office: United Kingdom
167166,ZADIG ASSET MANAGEMENT S.A.,non-US main office: Luxembourg
269881,G10 CAPITAL LIMITED,non-US main office: United Kingdom
284757,SILVER HEIGHTS CAPITAL MANAGEMENT INC.,non-US main office: Canada
156409,BAROMETER CAPITAL MANAGEMENT,non-US main office: Canada
289310,H.A.M.L,non-US main office: Australia
286283,JAMES HAMBRO & PARTNERS LLP,non-US main office: United Kingdom
288223,FONDSMAEGLERSELSKABET MAJ INVEST A/S,non-US main office: Denmark
135829,"BEUTEL, GOODMAN & COMPANY LTD.",non-US main office: Canada
329547,LOUISBOURG INVESTMENTS,non-US main office: Canada
110887,CUMBERLAND INVESTMENT COUNSEL INC.,non-US main office: Canada
